Область,Регион,Город,Гор.район,Квартал,Улица,Дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Солнечная улиц.,Д.148
Самарская обл.,Ставропольский р-н,с.Борковка,,,Садовая ул.,Д.41
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Добролюбова проезд,24 д.
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Пензенская,60 дом
Самарская обл.,,г. Самара,Советский р-н,,Советской Армии улиц.,253А д.
Самарская обл.,,г.Новокуйбышевск,,,ТЕРРИТОРИЯ ОАО "СЗСС",1 д.
Самарская обл.,,п. Новосемейкино,,,(нет),ГПП "ЗИМ" д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный проезд,48 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молдавский проезд,Д.5
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Осиновый проезд,Д.64
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Специалистов,49 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевский 1-й проезд,Д.41
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Белорусская ул.,6А д.
Самарская обл.,,г.Тольятти,Потрпоселок гор.р-н,,улица Комзина,Д.2А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Приморский б-р,24 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Первомайская ул.,92 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Свердлова ул.,32 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Ленинский пр-кт,3 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Ворошилова ул.,22 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,3 КВАР-Л,Ленинский пр-кт,27 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,улица Тополиная,39 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,улица Дзержинского,38 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,48 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,18 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ворошилова ул.,67 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Ул.Юбилейная,35 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,Космонавтов б-р,3 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Ленинский пр-кт,здание 14
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Ст. Разина пр-кт.,39 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,94 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,Космонавтов б-р,13 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,66 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Енисейский проезд,31 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Печорский проезд,24 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевский 1-й проезд,Д.10
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Гвардейский проезд,31 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Луначарского б-р,6
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Татищева б-р,6 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.40 лет Победы,82 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,13 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,улица Революционная,10 д.
,Самарская обл.,Автозаводский микрор-н,г.Тольятти,3 КВАР-Л,Д.18,Фрунзе ул.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,109
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Жукова ул.,Д.2В
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.40 лет Победы,70 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный б-р,5 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Карбышева,Д.15
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Ул.Автостроителей,3 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ворошилова ул.,65 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ворошилова ул.,49 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.18,Офицерская ул.,4Г дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,11к,Абрикосовая ул.,75 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,60 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,2 кв-л,Московский пр-кт,3 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Солнечный проезд,Д.39
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 3-й проезд,35 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Колхозный проезд,18 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Рабочий проезд,Д.46
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пролетарская ул.,77 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Приморский б-р,27 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Запорожский проезд,48 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мирный 1-й проезд,21 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ст. Разина пр-кт.,Д.70
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,11 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Приморский б-р,Д.33
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Фадеева,Д.49
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,46 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Комсомольская ул.,143 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,Д.77
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,улица Спортивная,18 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный б-р,36 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Московский пр-кт,51 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Московский пр-кт,61 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,128 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Советская улиц.,58 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,87 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,28 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Лесная,46 д.
Самарская обл.,Ставропольский р-н,с.Борковка,,,Куйбышева ул.,29 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,111 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,2 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодогвардейский проезд,20 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Льва Яшина ул.,6 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Советская улиц.,3 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пугачевский 1-й проезд,Д.43
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,здание 55
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ключевой проезд,12 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,73 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,Д.84
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Жигулевская улиц.,22 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,102 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,89 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Чапаева,129 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Автозаводское  ш.,28 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Ст. Разина пр-кт.,здание 44
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.70 лет Октября,здание 19
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Обводная дорога,32 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,7 к.,Фрунзе ул.,здание 23
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Ул.70 лет Октября,52 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,Д.25А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ул.40 лет Победы,94Б д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,27А дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,2А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,улица Тополиная,23А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.19,Ул.Автостроителей,9А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Ул.Автостроителей,17А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,16
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Заставная,9А д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Запорожский проезд,здание 54
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Шлютова улиц.,Д.79
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Карла Маркса улиц.,здание 35
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленинградская улиц.,40 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Магистральная,56 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Чкалова улиц.,83 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,54 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ботаническая ул.,ГСК60 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,1 Лесная улиц.,14 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Донской 3-й проезд,Д.6
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Запорожский проезд,45 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Детский проезд,13 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Окраинная,здание 6
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,99
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.15,Ворошилова ул.,3 дом
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Есенина ул.,Д.22
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ботаническая ул.,6 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.60 лет СССР,9А дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тупиковый проезд,46 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Ленинский пр-кт,здание 4А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленинградская улиц.,47 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Южный пер.,1 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Родниковая ул.,20 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленина улиц.,129 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тверской проезд,72 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,Д.53
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Уральская,Д.58
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный проезд,3 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Чуковского ул.,1 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Победы ул.,26 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ст. Разина пр-кт.,2Б д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Донской пр.,75 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,Королева б-р,13 дом
,Автозаводский микрор-н,к.6,Фрунзе ул.,Самарская обл.,г.Тольятти,здание 43А
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Есенина ул.,20 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Карбышева,6А д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ярославская ул.,12 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ленинградская улиц.,27 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ул.Громовой,31 А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,Д.36В
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Пролетарская ул.,2 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Суворова проезд,54 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Карла Маркса улиц.,Д.70
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Куйбышева улиц.,44 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Рябиновый б-р,35-Ю дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Советская улиц.,здание 71
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Белорусская ул.,33
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ул.Юбилейная,67 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,улица Тополиная,Д.1
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,19 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Заставная,Д.0
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,17  кв.,Ул.70 лет Октября,25 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,улица Дзержинского,26А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,12 кв.,Ул.Автостроителей,96А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,13ква-л,Ул.40 лет Победы,94 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,68 дом
Самарская обл.,Ставропольский р-н,с.Борковка,,,Октябрьская,Д.5
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Шлютова улиц.,137 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кирпичный проезд,10 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тверской проезд,54/1 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Рабочий проезд,31 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Ярославская ул.,7/95 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Березовая ул.,5-55 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Оренбургский проезд,6 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Торновый проезд,8 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Автозаводское  ш.,Д.23
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.4,Курчатова б-р,5 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Энергетиков ул.,17 д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Пионерская ул.,15 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,улица Революционная,ПАВИЛЬОН д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Северная ул.,47А дом
Самарская обл.,Ставропольский р-н,с.Борковка,,,Октябрьская,Д.19
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,10,Свердлова ул.,32А д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Шлютова улиц.,18 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Рабочий проезд,Д.47
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Ул.Дачная,21 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,9-го Января проезд,82 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Минский 2-й проезд,36 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мира,170 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Онежский 2-й проезд,1
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,41 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Лесной 2-й проезд,14 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Чайкиной,Д.69Б
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Офицерская ул.,20 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тупиковый проезд,42 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Ворошилова улиц.,17
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Офицерская ул.,45 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Яблоневый проезд,Д.24А
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Заставная,28 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Рабочий проезд,2 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.18,Офицерская ул.,35 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,9 к.,Ст. Разина пр-кт.,Д.31А
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Молодежный б-р,35 д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Гагарина ул.,14 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,23 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Цветной б-р,12А дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,18а кв.,Южное ш.,89 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Ул.Ставропольская,46 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Мира ул.,Д.180
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Кавалерийский проезд,51 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,14 кв-л,Ул.Автостроителей,41В дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Льва Толстого ул.,Д.8
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Льва Толстого ул.,Д.10
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Ларина,здание 103
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Ул.70 лет Октября,35А дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Онежский 4-й проезд,15 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Амурский проезд,79 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тихий проезд,78 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,96Г д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Никонова,6 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,Д.50
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Советская ул.,здание 1В
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Матросова улиц.,126 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Коммунальный проезд,1
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Мира ул.,78 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Макарова ул.,8 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.18,Офицерская ул.,Д.4А
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Специалистов,3
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв.1,Свердлова ул.,51/21 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Тимирязева ул.,79 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,5 д.
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Набережная ул.,Д.22
Самарская обл.,Ставропольский р-н,Ягодное село,,,Жигулевское море ст.,2 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Полякова ул.,30 д.
Самарская обл.,Волжский р-н,с.Мастрюково,,,Береговая ул.,9 дом
Самарская обл.,Ставропольский р-н,пос.Приморский,,,Восточный р-н,УЧ.39 д.
Самарская обл.,Ставропольский р-н,Ягодное село,,,Советская улиц.,23А дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Полевая улиц.,35 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Свердлова ул.,1Б дом
Самарская обл.,Ставропольский р-н,с.Борковка,,,улица Цветочная,Д.39
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,Ул.Юбилейная,81 дом
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Никонова,Д.60
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Абрикосовая улиц.,Д.12
Самарская обл.,Ставропольский р-н,с.Борковка,,,Куйбышева ул.,Д.10
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,18а кв.,Офицерская ул.,2В д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Солнечная улиц.,Д.74
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,20 кв,Южное ш.,33А д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Мира ул.,здание 22
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Горького,Д.19
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,кв. 16 кв.,Ул.Автостроителей,35 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Базовая,14А д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,к.6,улица Революционная,66А дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Заречный пер.,10А д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Чкалова,77А д.
Самарская обл.,Волжский р-н,с.Мастрюково,,,ЖГИЗ,Д.3Ю
Самарская обл.,Ставропольский р-н,Ягодное село,,,Южная ул.,12 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Луговая,49 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Сиреневая ул.,9 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Солнечная улиц.,Д.67
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Карбышева,1 д.
Самарская обл.,Ставропольский р-н,с.Борковка,,,улица Северная,8А д.
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Мира ул.,71 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Колхозная ул.,19 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Поволжское ш.,3 д.
Самарская обл.,Ставропольский р-н,Ягодное село,,,Вишневая ул.,5 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Транспортная ул.,16 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,улица Заречная,48 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Рабочий пер.,7 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Ст. Разина пр-кт.,5 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Льва Толстого ул.,3 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,КВ.3б,Фрунзе ул.,6Б дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,36 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Спортивная,ТЕНИСЦЕНТР дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Коммунальная ул.,29 д.
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Вокзальная,Д.36Г
Самарская обл.,,г.Тольятти,микро район Комсомольский,,Мурысева ул.,33 д.
